mois,catégorie,montant
2023-01,Accessoires,8675.19
2023-01,Audio,4673.17
2023-01,Bureautique,3197.0699999999997
2023-01,Informatique,4225.7699999999995
2023-01,Mobilier,3261.8199999999997
2023-01,Téléphonie,3443.86
2023-01,Wearables,6596.929999999999
2023-02,Accessoires,4536.92
2023-02,Audio,7666.8
2023-02,Bureautique,3153.1500000000005
2023-02,Informatique,6576.47
2023-02,Mobilier,1989.89
2023-02,Téléphonie,4958.25
2023-02,Wearables,1699.96
2023-03,Accessoires,11545.7
2023-03,Audio,4390.43
2023-03,Bureautique,754.53
2023-03,Informatique,8215.05
2023-03,Mobilier,4101.49
2023-03,Téléphonie,3142.04
2023-03,Wearables,8404.310000000001
2023-04,Accessoires,6565.09
2023-04,Audio,8014.55
2023-04,Bureautique,3194.14
2023-04,Informatique,4705.04
2023-04,Mobilier,3563.27
2023-04,Téléphonie,864.4
2023-04,Wearables,2933.0299999999997
2023-05,Accessoires,7169.41
2023-05,Audio,2006.77
2023-05,Bureautique,3608.5
2023-05,Informatique,6950.23
2023-05,Mobilier,2698.71
2023-05,Téléphonie,3073.56
2023-05,Wearables,5875.91
2023-06,Accessoires,8860.11
2023-06,Audio,3967.3900000000003
2023-06,Bureautique,4112.54
2023-06,Informatique,4124.07
2023-06,Mobilier,2132.92
2023-06,Téléphonie,4314.49
2023-06,Wearables,2755.55
