transaction_id,date,client_id,montant,type_transaction,pays,statut_fraude
T000001,2023-04-13,C0003,44.51,virement,DE,0
T000002,2023-12-15,C0161,228.03,achat_en_ligne,FR,0
T000003,2023-09-28,C0134,14.99,retrait,FR,0
T000004,2023-04-17,C0178,6.23,paiement,BR,0
T000005,2023-03-13,C0010,59.6,virement,FR,0
T000006,2023-07-08,C0005,124.21,virement,DE,1
T000007,2023-01-21,C0151,405.4,achat_en_ligne,CN,0
T000008,2023-04-13,C0138,259.78,achat_en_ligne,CN,0
T000009,2023-05-02,C0172,271.51,achat_en_ligne,BR,0
T000010,2023-08-03,C0130,110.85,paiement,IN,1
T000011,2023-11-27,C0013,84.91,paiement,DE,0
T000012,2023-03-29,C0168,92.74,achat_en_ligne,DE,0
T000013,2023-04-10,C0130,878.81,retrait,FR,0
T000014,2023-12-26,C0084,8.19,virement,DE,0
T000015,2023-06-01,C0065,403.53,virement,US,0
T000016,2023-05-11,C0063,172.87,paiement,IN,1
T000017,2023-05-30,C0101,115.47,virement,FR,0
T000018,2023-11-05,C0073,258.38,retrait,US,0
T000019,2023-09-15,C0017,133.37,virement,BR,0
T000020,2023-12-10,C0009,413.38,paiement,CN,0
T000021,2023-10-21,C0143,461.93,paiement,BR,0
T000022,2023-07-11,C0152,109.54,retrait,CN,0
T000023,2023-10-04,C0038,64.82,retrait,BR,0
T000024,2023-06-10,C0163,179.47,virement,DE,0
T000025,2023-11-10,C0094,486.91,virement,US,0
T000026,2023-01-22,C0095,47.31,paiement,CN,0
T000027,2023-09-10,C0049,195.08,retrait,FR,0
T000028,2023-08-24,C0069,199.7,retrait,US,0
T000029,2023-12-11,C0062,264.19,retrait,FR,0
T000030,2023-02-18,C0188,28.21,virement,US,1
T000031,2023-02-28,C0178,251.63,retrait,US,0
T000032,2023-06-19,C0078,479.45,paiement,BR,1
T000033,2023-07-07,C0117,39.61,paiement,CN,0
T000034,2023-09-28,C0120,54.24,virement,CN,0
T000035,2023-07-09,C0137,710.84,achat_en_ligne,US,0
T000036,2023-06-24,C0162,39.93,virement,DE,0
T000037,2023-02-20,C0076,385.36,achat_en_ligne,DE,0
T000038,2023-12-30,C0035,135.56,retrait,FR,0
T000039,2023-02-24,C0001,56.8,virement,FR,0
T000040,2023-09-01,C0040,409.2,paiement,BR,0
T000041,2023-11-16,C0064,117.87,retrait,US,0
T000042,2023-05-11,C0150,144.65,paiement,FR,0
T000043,2023-11-03,C0060,89.02,retrait,FR,0
T000044,2023-05-15,C0064,179.76,virement,IN,0
T000045,2023-01-21,C0093,35.71,achat_en_ligne,US,0
T000046,2023-11-25,C0072,99.21,retrait,BR,0
T000047,2023-06-16,C0011,697.43,achat_en_ligne,FR,0
T000048,2023-10-01,C0105,59.72,retrait,BR,0
T000049,2023-03-30,C0014,213.85,paiement,CN,0
T000050,2023-11-12,C0060,78.66,paiement,BR,0
T000051,2023-01-14,C0030,296.98,retrait,DE,0
T000052,2023-08-30,C0035,28.05,achat_en_ligne,DE,0
T000053,2023-09-22,C0165,700.12,virement,BR,0
T000054,2023-12-12,C0005,120.95,virement,DE,0
T000055,2023-02-22,C0083,53.85,paiement,CN,0
T000056,2023-12-06,C0123,15.27,virement,US,0
T000057,2023-04-02,C0078,37.21,paiement,DE,0
T000058,2023-09-21,C0154,146.7,virement,DE,0
T000059,2023-02-04,C0062,82.2,retrait,BR,0
T000060,2023-07-25,C0132,353.08,paiement,CN,0
T000061,2023-03-22,C0089,112.74,paiement,US,0
T000062,2023-02-19,C0042,57.19,retrait,BR,0
T000063,2023-12-26,C0089,192.02,paiement,BR,0
T000064,2023-01-02,C0146,245.36,virement,IN,0
T000065,2023-02-23,C0040,36.55,virement,CN,0
T000066,2023-04-16,C0072,36.69,paiement,US,0
T000067,2023-09-17,C0039,7.47,virement,CN,0
T000068,2023-11-06,C0104,266.67,achat_en_ligne,US,0
T000069,2023-07-10,C0014,218.01,paiement,CN,0
T000070,2023-08-06,C0032,128.73,retrait,BR,0
T000071,2023-02-13,C0179,371.8,achat_en_ligne,BR,0
T000072,2023-06-11,C0125,327.64,paiement,FR,0
T000073,2023-07-21,C0166,176.07,retrait,DE,0
T000074,2023-09-27,C0097,405.4,virement,IN,0
T000075,2023-12-17,C0023,46.09,retrait,CN,0
T000076,2023-10-31,C0063,23.74,achat_en_ligne,IN,0
T000077,2023-09-28,C0143,62.87,virement,FR,1
T000078,2023-08-03,C0153,11.76,paiement,DE,0
T000079,2023-09-09,C0145,151.5,virement,CN,0
T000080,2023-07-09,C0194,551.68,paiement,US,0
T000081,2023-10-23,C0053,8.03,paiement,DE,0
T000082,2023-08-01,C0104,26.05,retrait,BR,0
T000083,2023-07-27,C0104,120.37,retrait,FR,0
T000084,2023-08-25,C0179,543.24,retrait,DE,0
T000085,2023-12-04,C0039,76.01,achat_en_ligne,DE,0
T000086,2023-02-22,C0179,141.54,achat_en_ligne,BR,0
T000087,2023-10-07,C0198,8.49,retrait,CN,0
T000088,2023-08-05,C0134,32.11,achat_en_ligne,US,0
T000089,2023-09-09,C0067,862.95,virement,BR,0
T000090,2023-07-07,C0135,671.16,virement,US,0
T000091,2023-02-10,C0179,0.99,achat_en_ligne,CN,0
T000092,2023-06-06,C0200,606.53,achat_en_ligne,DE,0
T000093,2023-01-15,C0042,203.84,virement,US,0
T000094,2023-10-28,C0192,404.87,paiement,FR,1
T000095,2023-03-06,C0015,121.3,virement,FR,0
T000096,2023-12-11,C0111,144.97,virement,BR,0
T000097,2023-11-23,C0157,134.22,achat_en_ligne,CN,0
T000098,2023-01-09,C0033,219.84,virement,BR,0
T000099,2023-12-10,C0155,30.08,achat_en_ligne,BR,0
T000100,2023-05-09,C0164,6.09,achat_en_ligne,IN,0
T000101,2023-05-16,C0157,73.61,retrait,BR,0
T000102,2023-03-04,C0038,243.94,virement,IN,0
T000103,2023-05-19,C0185,45.09,paiement,FR,0
T000104,2023-03-22,C0097,223.82,retrait,FR,0
T000105,2023-06-12,C0155,700.73,achat_en_ligne,BR,0
T000106,2023-10-16,C0183,19.72,achat_en_ligne,FR,0
T000107,2023-09-18,C0033,223.32,paiement,CN,0
T000108,2023-08-19,C0196,117.31,achat_en_ligne,IN,0
T000109,2023-02-10,C0086,405.21,virement,IN,0
T000110,2023-01-28,C0066,39.0,retrait,BR,0
T000111,2023-05-15,C0010,235.94,achat_en_ligne,FR,0
T000112,2023-07-20,C0005,364.17,achat_en_ligne,US,0
T000113,2023-11-24,C0123,578.69,paiement,IN,1
T000114,2023-09-25,C0074,229.93,virement,BR,0
T000115,2023-02-02,C0097,137.5,achat_en_ligne,BR,0
T000116,2023-02-17,C0118,192.39,paiement,CN,0
T000117,2023-03-03,C0038,406.37,achat_en_ligne,DE,0
T000118,2023-08-04,C0141,169.08,paiement,DE,0
T000119,2023-10-20,C0159,6.17,paiement,IN,0
T000120,2023-04-09,C0047,534.58,virement,CN,0
T000121,2023-06-21,C0109,233.93,achat_en_ligne,CN,0
T000122,2023-12-26,C0180,225.72,virement,CN,0
T000123,2023-08-02,C0184,48.59,paiement,IN,0
T000124,2023-02-04,C0015,215.11,retrait,DE,0
T000125,2023-08-15,C0157,100.13,achat_en_ligne,CN,0
T000126,2023-04-11,C0136,210.67,retrait,FR,0
T000127,2023-05-11,C0005,22.54,achat_en_ligne,BR,0
T000128,2023-09-14,C0157,214.5,virement,BR,0
T000129,2023-01-05,C0047,1488.34,virement,US,0
T000130,2023-08-06,C0068,9.88,virement,US,0
T000131,2023-09-12,C0076,755.97,virement,IN,0
T000132,2023-12-25,C0173,104.48,virement,IN,0
T000133,2023-10-10,C0130,409.21,retrait,BR,0
T000134,2023-07-26,C0155,305.01,virement,FR,0
T000135,2023-01-15,C0095,167.41,paiement,DE,0
T000136,2023-12-12,C0115,268.23,paiement,DE,0
T000137,2023-02-11,C0164,421.59,retrait,IN,0
T000138,2023-06-28,C0036,103.55,achat_en_ligne,FR,0
T000139,2023-03-04,C0026,79.21,paiement,IN,0
T000140,2023-12-18,C0043,220.28,achat_en_ligne,DE,0
T000141,2023-08-19,C0027,329.89,retrait,IN,0
T000142,2023-08-29,C0069,287.34,achat_en_ligne,CN,0
T000143,2023-02-21,C0148,319.71,achat_en_ligne,IN,0
T000144,2023-04-06,C0011,114.39,achat_en_ligne,BR,0
T000145,2023-08-10,C0074,340.57,achat_en_ligne,IN,0
T000146,2023-08-19,C0104,25.61,retrait,BR,0
T000147,2023-08-25,C0038,157.27,paiement,FR,0
T000148,2023-05-23,C0134,1.16,virement,DE,0
T000149,2023-06-20,C0200,78.49,achat_en_ligne,US,0
T000150,2023-01-29,C0023,91.29,paiement,US,0
T000151,2023-02-05,C0047,100.89,paiement,DE,0
T000152,2023-01-13,C0090,237.8,retrait,US,0
T000153,2023-06-09,C0046,98.39,paiement,IN,1
T000154,2023-11-23,C0107,119.09,retrait,FR,0
T000155,2023-07-06,C0140,54.24,achat_en_ligne,FR,0
T000156,2023-08-31,C0141,93.44,achat_en_ligne,DE,0
T000157,2023-03-27,C0104,51.57,virement,US,0
T000158,2023-10-11,C0190,15.2,virement,IN,0
T000159,2023-03-07,C0111,184.99,virement,FR,0
T000160,2023-06-19,C0104,220.65,paiement,FR,0
T000161,2023-02-14,C0060,193.25,achat_en_ligne,CN,0
T000162,2023-03-03,C0171,124.54,retrait,CN,0
T000163,2023-05-14,C0100,95.54,virement,FR,0
