date,produit,catégorie,montant,client_id
2023-06-13,Smartphone X,Téléphonie,767.84,C0002
2023-03-12,Montre Connectée,Wearables,1902.91,C0015
2023-02-05,Smartphone X,Téléphonie,1472.03,C0044
2023-05-20,Smartphone X,Téléphonie,1209.36,C0038
2023-04-19,Laptop Pro 15,Informatique,337.36,C0002
2023-01-24,Montre Connectée,Wearables,337.31,C0015
2023-05-10,Webcam HD,Accessoires,144.42,C0002
2023-05-24,Montre Connectée,Wearables,1736.37,C0046
2023-06-16,Enceinte Portable,Audio,1214.2,C0027
2023-02-26,"Tablette 10""",Informatique,1424.9,C0038
2023-03-13,Laptop Pro 15,Informatique,70.55,C0049
2023-02-10,Souris Gaming,Accessoires,1940.72,C0022
2023-03-13,Casque Bluetooth,Audio,1669.91,C0014
2023-03-28,Smartphone X,Téléphonie,448.31,C0006
2023-04-08,Smartphone X,Téléphonie,388.2,C0023
2023-03-30,Webcam HD,Accessoires,391.31,C0017
2023-01-12,"Tablette 10""",Informatique,629.36,C0035
2023-02-01,Souris Gaming,Accessoires,1063.77,C0006
2023-05-22,Imprimante Laser,Bureautique,880.93,C0041
2023-06-08,Chaise Ergonomique,Mobilier,603.72,C0037
2023-02-19,Smartphone X,Téléphonie,1235.35,C0003
2023-06-19,Montre Connectée,Wearables,304.8,C0050
2023-03-16,Smartphone X,Téléphonie,605.52,C0015
2023-01-26,Souris Gaming,Accessoires,751.73,C0018
2023-04-27,Chaise Ergonomique,Mobilier,928.46,C0011
2023-04-05,Chaise Ergonomique,Mobilier,1576.8,C0014
2023-06-21,Imprimante Laser,Bureautique,423.36,C0045
2023-06-24,Smartphone X,Téléphonie,1043.04,C0039
2023-06-12,Casque Bluetooth,Audio,1197.06,C0035
2023-03-04,Casque Bluetooth,Audio,121.51,C0030
2023-04-08,Imprimante Laser,Bureautique,1226.86,C0041
2023-06-26,Enceinte Portable,Audio,365.93,C0015
2023-06-25,Chaise Ergonomique,Mobilier,158.15,C0050
2023-01-15,Montre Connectée,Wearables,1899.3,C0003
2023-03-22,Souris Gaming,Accessoires,1932.3,C0018
2023-01-17,Montre Connectée,Wearables,1622.54,C0037
2023-03-22,Montre Connectée,Wearables,630.09,C0042
2023-05-08,Souris Gaming,Accessoires,222.41,C0042
2023-04-28,Casque Bluetooth,Audio,1377.94,C0017
2023-02-05,Montre Connectée,Wearables,897.1,C0048
2023-05-24,Enceinte Portable,Audio,270.42,C0017
2023-05-30,Souris Gaming,Accessoires,1005.5,C0038
2023-04-13,Chaise Ergonomique,Mobilier,97.75,C0015
2023-02-05,Enceinte Portable,Audio,1821.36,C0032
2023-01-24,Laptop Pro 15,Informatique,539.8,C0008
2023-02-09,Casque Bluetooth,Audio,1335.17,C0044
2023-04-19,Webcam HD,Accessoires,644.07,C0005
2023-04-09,Souris Gaming,Accessoires,1054.53,C0039
2023-04-30,Enceinte Portable,Audio,1107.02,C0017
2023-05-22,Laptop Pro 15,Informatique,394.16,C0044
2023-01-30,Enceinte Portable,Audio,1940.08,C0049
2023-03-10,Chaise Ergonomique,Mobilier,1557.01,C0008
2023-03-17,Souris Gaming,Accessoires,1880.81,C0011
2023-04-27,Laptop Pro 15,Informatique,1792.81,C0047
2023-03-09,Enceinte Portable,Audio,1207.86,C0049
2023-02-15,Enceinte Portable,Audio,1846.09,C0007
2023-06-10,Imprimante Laser,Bureautique,204.33,C0041
2023-05-10,Webcam HD,Accessoires,416.09,C0013
2023-02-09,Chaise Ergonomique,Mobilier,119.1,C0049
2023-02-11,Enceinte Portable,Audio,670.9,C0050
2023-05-16,Laptop Pro 15,Informatique,795.69,C0039
2023-03-24,"Tablette 10""",Informatique,564.56,C0002
2023-01-29,Chaise Ergonomique,Mobilier,1662.61,C0020
2023-03-03,Laptop Pro 15,Informatique,732.8,C0016
2023-05-26,Smartphone X,Téléphonie,583.44,C0006
2023-05-05,Smartphone X,Téléphonie,1099.11,C0049
2023-05-17,Casque Bluetooth,Audio,307.62,C0009
2023-06-18,"Tablette 10""",Informatique,1610.33,C0036
2023-02-12,Imprimante Laser,Bureautique,176.86,C0034
2023-06-05,Souris Gaming,Accessoires,1974.17,C0014
2023-05-19,Montre Connectée,Wearables,1551.32,C0046
2023-03-21,Souris Gaming,Accessoires,421.47,C0043
2023-06-16,Chaise Ergonomique,Mobilier,40.88,C0029
2023-05-13,"Tablette 10""",Informatique,1636.46,C0008
2023-03-05,Montre Connectée,Wearables,1422.51,C0005
2023-03-28,Laptop Pro 15,Informatique,1466.14,C0038
2023-05-22,Montre Connectée,Wearables,1549.4,C0038
2023-02-26,Laptop Pro 15,Informatique,175.87,C0005
2023-06-11,Laptop Pro 15,Informatique,736.18,C0015
2023-01-18,Laptop Pro 15,Informatique,258.26,C0022
2023-01-19,Enceinte Portable,Audio,1730.31,C0016
2023-03-13,"Tablette 10""",Informatique,1257.9,C0014
2023-05-19,Casque Bluetooth,Audio,681.87,C0047
2023-05-27,Webcam HD,Accessoires,155.21,C0031
2023-03-04,"Tablette 10""",Informatique,642.64,C0027
2023-02-18,Smartphone X,Téléphonie,670.61,C0007
2023-06-18,Souris Gaming,Accessoires,1467.32,C0023
2023-04-19,Souris Gaming,Accessoires,1285.99,C0030
2023-01-14,Smartphone X,Téléphonie,1777.81,C0004
2023-04-14,Chaise Ergonomique,Mobilier,960.26,C0007
2023-03-05,Montre Connectée,Wearables,265.6,C0013
2023-05-18,"Tablette 10""",Informatique,1435.09,C0009
2023-04-19,Casque Bluetooth,Audio,1528.75,C0018
2023-04-29,Montre Connectée,Wearables,1135.72,C0005
2023-04-24,Enceinte Portable,Audio,1548.81,C0007
2023-01-13,Enceinte Portable,Audio,1002.78,C0001
2023-01-24,Montre Connectée,Wearables,1059.78,C0011
2023-04-15,"Tablette 10""",Informatique,872.26,C0031
2023-02-24,Souris Gaming,Accessoires,80.08,C0004
2023-02-12,Souris Gaming,Accessoires,242.55,C0001
2023-04-10,Imprimante Laser,Bureautique,91.92,C0030
2023-03-15,Souris Gaming,Accessoires,1283.73,C0045
2023-05-23,"Tablette 10""",Informatique,649.28,C0010
2023-02-18,Imprimante Laser,Bureautique,1031.88,C0014
2023-01-15,Webcam HD,Accessoires,1817.91,C0048
2023-05-19,Laptop Pro 15,Informatique,521.11,C0048
2023-03-22,Laptop Pro 15,Informatique,838.45,C0004
2023-05-30,"Tablette 10""",Informatique,1518.44,C0033
2023-05-16,Casque Bluetooth,Audio,480.73,C0004
2023-05-11,Smartphone X,Téléphonie,181.65,C0012
2023-01-18,Webcam HD,Accessoires,600.81,C0005
2023-06-22,Montre Connectée,Wearables,347.61,C0026
2023-01-31,Webcam HD,Accessoires,1861.5,C0016
2023-05-29,Webcam HD,Accessoires,1622.0,C0003
2023-06-08,Smartphone X,Téléphonie,1277.81,C0027
2023-06-18,Webcam HD,Accessoires,1746.78,C0037
2023-05-14,Chaise Ergonomique,Mobilier,1613.23,C0017
2023-02-22,Chaise Ergonomique,Mobilier,397.54,C0016
2023-03-09,Souris Gaming,Accessoires,1788.34,C0009
2023-06-21,Imprimante Laser,Bureautique,1092.5,C0030
2023-03-22,Smartphone X,Téléphonie,1620.66,C0001
2023-04-28,Webcam HD,Accessoires,1795.3,C0037
